date,canada
2020/3/10,1
2020/3/11,0
2020/3/12,0
2020/3/13,0
2020/3/14,0
2020/3/15,0
2020/3/16,0
2020/3/17,3
2020/3/18,4
2020/3/19,1
2020/3/20,1
2020/3/21,2
2020/3/22,6
2020/3/23,2
2020/3/24,4
2020/3/25,3
2020/3/26,8
2020/3/27,4
2020/3/28,14
2020/3/29,7
2020/3/30,1
2020/3/31,28
2020/4/1,7
2020/4/2,13
2020/4/3,29
2020/4/4,49
2020/4/5,44
2020/4/6,49
2020/4/7,43
2020/4/8,57
2020/4/9,55
2020/4/10,74
2020/4/11,60
2020/4/12,84
2020/4/13,64
2020/4/14,63
2020/4/15,123
2020/4/16,107
2020/4/17,183
2020/4/18,116
2020/4/19,158
2020/4/20,113
2020/4/21,110
2020/4/22,144
2020/4/23,140
2020/4/24,172
2020/4/25,156
2020/4/26,163
2020/4/27,95
2020/4/28,147
2020/4/29,152
2020/4/30,137
2020/5/1,188
2020/5/2,207
2020/5/3,175
2020/5/4,116
2020/5/5,172
2020/5/6,189
2020/5/7,189
2020/5/8,176
2020/5/9,161
2020/5/10,124
2020/5/11,178
2020/5/12,122
2020/5/13,176
2020/5/14,135
2020/5/15,168
2020/5/16,90
2020/5/17,117
2020/5/18,103
2020/5/19,60
2020/5/20,70
2020/5/21,118
2020/5/22,122
2020/5/23,98
2020/5/24,105
2020/5/25,69
2020/5/26,121
2020/5/27,94
2020/5/28,126
2020/5/29,112
2020/5/30,102
2020/5/31,94
2020/6/1,222
2020/6/2,31
2020/6/3,69
2020/6/4,103
2020/6/5,139
2020/6/6,66
2020/6/7,70
2020/6/8,27
2020/6/9,35
2020/6/10,62
2020/6/11,63
2020/6/12,34
2020/6/13,55
2020/6/14,58
2020/6/15,39
2020/6/16,29
2020/6/17,38
2020/6/18,41
2020/6/19,46
2020/6/20,46
2020/6/21,64
2020/6/22,20
2020/6/23,6
2020/6/24,18
2020/6/25,30
2020/6/26,20
2020/6/27,4
2020/6/28,8
2020/6/29,6
2020/6/30,44
2020/7/1,25
2020/7/2,0
2020/7/3,51
2020/7/4,21
2020/7/5,11
2020/7/6,10
2020/7/7,9
2020/7/8,18
2020/7/9,26
2020/7/10,12
2020/7/11,10
2020/7/12,14
2020/7/13,10
2020/7/14,7
2020/7/15,8
2020/7/16,12
2020/7/17,17
2020/7/18,12
2020/7/19,0
2020/7/20,13
2020/7/21,6
2020/7/22,4
2020/7/23,8
2020/7/24,4
2020/7/25,7
2020/7/26,4
2020/7/27,5
2020/7/28,11
2020/7/29,11
2020/7/30,5
2020/7/31,12
2020/8/1,6
2020/8/2,6
2020/8/3,4
2020/8/4,2
2020/8/5,11
2020/8/6,4
2020/8/7,4
2020/8/8,4
2020/8/9,6
2020/8/10,5
2020/8/11,6
2020/8/12,4
2020/8/13,15
2020/8/14,9
2020/8/15,5
2020/8/16,4
2020/8/17,2
2020/8/18,6
2020/8/19,13
2020/8/20,4
2020/8/21,5
2020/8/22,10
2020/8/23,7
2020/8/24,2
2020/8/25,10
2020/8/26,7
2020/8/27,4
2020/8/28,8
2020/8/29,6
2020/8/30,5
2020/8/31,4
2020/9/1,9
2020/9/2,6
2020/9/3,3
2020/9/4,6
2020/9/5,0
2020/9/6,2
2020/9/7,2
2020/9/8,1
2020/9/9,7
2020/9/10,2
2020/9/11,8
2020/9/12,0
2020/9/13,7
2020/9/14,1
2020/9/15,8
2020/9/16,9
2020/9/17,5
2020/9/18,7
2020/9/19,5
2020/9/20,6
2020/9/21,6
2020/9/22,11
2020/9/23,6
2020/9/24,9
2020/9/25,6
2020/9/26,6
2020/9/27,7
2020/9/28,6
2020/9/29,10
2020/9/30,13
2020/10/1,6
2020/10/2,22
2020/10/3,90
2020/10/4,53
2020/10/5,19
2020/10/6,23
2020/10/7,26
2020/10/8,11
2020/10/9,16
2020/10/10,28
2020/10/11,0
2020/10/12,0
2020/10/13,42
2020/10/14,27
2020/10/15,10
2020/10/16,35
2020/10/17,23
2020/10/18,24
2020/10/19,14
2020/10/20,18
2020/10/21,16
2020/10/22,35
2020/10/23,33
2020/10/24,26
2020/10/25,34
2020/10/26,24
2020/10/27,27
2020/10/28,28
2020/10/29,31
2020/10/30,42
2020/10/31,36
